Source	Locus 1	Loucs 2	Locus 3	Full Gloss	Translation	IMMEDIATE CONTEXT	IMMEDIATE CONTEXT TRANSLATION	MORPH	MORPH TRANS	MORPH ANALYSIS	MORPH CONTEXT	LEMMA OF MAIN VERB	CLAUSAL SUBJECT	SUBJECT ANALYSIS	GOV CONTEXT	GOV CONTEXT TYPE	GOV CONTEXT LEMMA	GOV CONTEXT SBJ	GOV CONTEXT SBJ ANALYSIS	SBJ~MORPH COREFERENCE	SBJ~OTHER	MORPH REFLEXIVE	Note
Sg.	209b28	209b24 tt	S0007-3288	Huiuscemodi .i. issed acum/tach .i. taibsiu gní/mo ɫ c<h>esta opersin/ fuiri feisin ɫ opersin/ do persin hi .sui. cona/chamthuislib .i. ní/ recar less didiu ainm/neda la .sui. oc/ slund indedisin.	i.e. this is the structure, i.e. manifestation of action or passion from a person on himself, or from a person to a person in sui with its oblique cases. In expressing those two things, then, it is unnecessary for sui  to have a nominative	taibsiu gní/mo ɫ c<h>esta opersin/ fuiri feisin	manifestation of action or passion from a person on himself	fuiri feisin	on himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	do-adbat	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠PP-COMP	N/A	NO	N/A
Best, R.I. and Bergin, Osborn 1956	445	LL 13885 [Beochobra Con Culaind]	https://celt.ucc.ie/published/G800011B/text010.html	Tadall latt a Chu Chulaind.	Come here o Cúchulaind.	Tadall latt a Chu Chulaind.	Come here <yourself> o Cúchulaind.	latt	<yourself>	2sg.Null_Pronoun	PP-COMP	do-aidlea	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
https://www.dias.ie/wp-content/uploads/2011/03/canto001-010.pdf	N/A	Saltair na Rann (l.844)	N/A	dia namthairbiur fon sósur	If I should submit myself to the junior	dia namthairbiur fon sósur	If I should submit myself to the junior	dia namthairbiur 	If I should submit myself	1sg.Infixed_Pronoun	PRON-OBJ	do-airbir	-	1sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	004c40	N/A	N/A	.i. nípat hé indíi betathuicsi diiudeib nammá beite isindinducbáil sin acht bieit cit geinti hiressich. tairchechuin farmbráthirc fadisin ossæ áiudeiu airitiud et togu geinte	i.e. it will not be they who shall be chosen from the Jews only who will be in that glory: but there will be even faithful Gentiles. Your own brother Hosea, O <ye> Jews, foretold <the> reception and election of <the> Gentiles.	tairchechuin farmbráthirc fadisin ossæ áiudeiu airitiud et togu geinte	Your own brother Hosea, O <ye> Jews, foretold <the> reception and election of <the> Gentiles	farmbráthirc fadisin ossæ	Your own brother Hosea	2pl.Possessive_INTS	NP-SBJ	do-airchain	farmbráthir fadisin ossæ	sg.Noun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Ml.	064c22	N/A	S0006-4086	.i. erechdu indaas cechterchital dunairc<h>echainnsom fesin 7 indaas dunarchechainn nach fáith aile	i.e. superior to every prophecy that he had prophesied himself, and to what any other prophet had prophesied.	dunairc<h>echainnsom fesin	that he had prophesied himself	dunairc<h>echainnsom fesin	that he had prophesied himself	3sg.masc.Overt_Pronoun_INTS	PRON-SBJ	do-airchain	som fesin	3sg.masc.Overt_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Ml.	061b17	N/A	S0006-3835	.i. duárchomraicset cloini n doib fesin meriti .i. indairílti .i. indí assidroilisset· obtimi .i. indfoircimi<m>· de se · díb .i. indí adidroillisset commór inclóini nísin dutairciud doib· obtarent· .i. indí assaguiset· amal bid qui obtarent nobeth ánd .i. duáirci cloini ṅ do fadesin inti asagusi etarthothaim· ácharat	i.e. they gathered iniquity to themselves; meriti i.e. deserved, i.e. those who deserved it; optimi i.e. the most excellent; de se of them; i.e. they who greatly deserved that that iniquity should be caused to them; optarent, i.e. those who wish, as though it were qui optarent that had been there, i.e. he who wishes the ruin of his friend causes iniquity to himself.	duárchomraicset cloini n doib fesin	they gathered iniquity to themselves	doib fesin	to themselves	3pl.Null_Pronoun_INTS	PP-COMP	do-airchomraicci	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Wb.	023c13	N/A	N/A	.i. natáirged cách indocbáil do fesin	i.e. let not every one procure glory for himself.	natáirged cách indocbáil do fesin	let not every one procure glory for himself	do fesin	for himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	do-áirci	cách	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Ml.	061b17	N/A	S0006-3835	.i. duárchomraicset cloini n doib fesin meriti .i. indairílti .i. indí assidroilisset· obtimi .i. indfoircimi<m>· de se · díb .i. indí adidroillisset commór inclóini nísin dutairciud doib· obtarent· .i. indí assaguiset· amal bid qui obtarent nobeth ánd .i. duáirci cloini ṅ do fadesin inti asagusi etarthothaim· ácharat	i.e. they gathered iniquity to themselves; meriti i.e. deserved, i.e. those who deserved it; optimi i.e. the most excellent; de se of them; i.e. they who greatly deserved that that iniquity should be caused to them; optarent, i.e. those who wish, as though it were qui optarent that had been there, i.e. he who wishes the ruin of his friend causes iniquity to himself.	duáirci cloini ṅ do fadesin inti	he … causes iniquity to himself	do fadesin	to himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	do-áirci	-	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Sg.	150b02	150b24 i	S0007-2533	.i. torand hifrecṅdairc indib cadesin 7 folud tairismech	i.e. a signification in the present in them themselves and a constant meaning	torand hifrecṅdairc indib cadesin	a signification in the present in them themselves	indib cadesin	in them themselves	3pl.Null_Pronoun_INTS	PP-COMP	do-airindi/do-airnet	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠PP-COMP	N/A	NO	N/A
Mass	POMIC	mass.021	N/A	quando canitur accipit IHS panem tanaurnat in sacart fa thri du aithrigi dia pecthaib	When ‘Jesus accepts the bread’ is sung, the priest bows himself three times to repent of his sins.	tanaurnat in sacart fa thri	the priest bows himself three times	tanaurnat	bows himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	do-airindi/do-airnet	in sacart	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Stokes, Whitley 1888	476	RC 9	https://archive.org/details/revueceltique09pari/page/476/mode/2up?view=theater	7 nin-tairmesc dia chluchiu.	and <it> did not stop itself from its play	7 nin-tairmesc dia chluchiu.	and <it> did not stop itself from its play	nin-tairmesc	did not stop itself	3sg.masc.Infixed_Pronoun	PRON-OBJ	do-airmesca	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	005d16	N/A	N/A	.i. taibred cách airmitin dialailiu et nách t<h?>aibred do feisin	i.e. let every one give honour to the other and not give it to himself.	et nách t<h?>aibred do feisin	and <let him> not give it to himself	do feisin	to himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	do-beir	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Wb.	006c19	N/A	N/A	.i. nítabarthi dímess doneoch fornach nénirt arafoirbthetu fadesin	i.e. contempt is not to be shewn by any one to any feeble person because of his own perfection.	nítabarthi dímess doneoch fornach nénirt arafoirbthetu fadesin	contempt is not to be shewn by any one to any feeble person because of his own perfection	arafoirbthetu fadesin	because of his own perfection	3sg.masc.Possessive_INTS	PP-COMP	do-beir	dímess	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ≠POSS	NO	POSSESSIVE IN MORPH IS COREFERENTIAL WITH PRECEDING PP-COMP.
Ml.	023b10	N/A	S0006-660	hogoistiu .i. dobert goiste imma bragait fadesin ɔidmarb huare nadndigni abisolón achomairli	by a noose, i.e. he put a noose around his own neck and killed himself, because Absalom did not follow his counsel.	dobert goiste imma bragait fadesin	he put a noose around his own neck	imma bragait fadesin	around his own neck	3sg.masc.Possessive_INTS	PP-COMP	do-beir	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Wb.	023c16	N/A	N/A	.i. nadecad indán doradad dó fessin acht dán ácheli	i.e. let him not regard the gift that has been given to himself, but the gift of his fellow.	doradad dó fessin	that has been given to himself	dó fessin	to himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	do-beir	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	N/A
Wb.	024c16	N/A	N/A	.i. niáil dún tabart testassa dínn nadiibsi daberidsi féissne cene	i.e. not proper to us to bear testimony of us or of you: ye yourselves give it without that.	daberidsi féissne cene	ye yourselves give it without that	daberidsi féissne	ye yourselves give it	2pl.Overt_Pronoun_INTS	PRON-SBJ	do-beir	si féissne	2pl.Overt_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Wb.	028b04	N/A	N/A	darrat fessin hicroich	He has offered himself on the cross	darrat fessin hicroich	He has offered himself on the cross	darrat fessin	He has offered himself	3sg.masc.Infixed_Pronoun_INTS	PRON-OBJ	do-beir	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	030d25	N/A	S0006-1255	.i. dudichestar .i. miastair .i. huaidfesin .i. ishe mes dombera fair fesin	i.e. will be led, i.e. will be judged, i.e., by himself, i.e. that is the judgment that he will pass on himself.	dombera fair fesin	that he will pass on himself	fair fesin	on himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	do-beir	-	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Wb.	031b19	N/A	N/A	.i. epimenidis uel callimachus déiccesiu inteist dorat afili fésine ↄdidtacair afoimtiu etaforcital	look at the testimony which their own poet has given, so that it is meet to beware of them and to teach them.	dorat afili fésine	which their own poet has given	afili fésine	their own poet	3pl.Possessive_INTS	NP-SBJ	do-beir	afili fésine	sg.Noun	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Ml.	073b17	N/A	S0006-4650	.i. aní ba immaircide duthabair<t> forru fesin daratsat formsa	i.e. that which was fitting to be inflicted upon themselves, they have inflicted it upon me.	duthabair<t> forru fesin	to be inflicted upon themselves	forru fesin	upon themselves	3pl.Null_Pronoun_INTS	PP-COMP	do-beir	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠PP-COMP	N/A	NO	N/A
Ml.	127d10-11	N/A	S0006-7720	.i. dober comermitin feid fris fessin 7 fri deacht maic dano do doinacht maic	i.e. He gives to the Manhood of the Son honor equal with Himself and also with the Godhead of the Son.	dober comermitin feid fris fessin	He gives to the Manhood of the Son honor equal with Himself	fris fessin	with Himself	3sg.masc.Null_Pronoun_INTS	PP-COMP	do-beir	-	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
B-Brig	POMIC	bb.290	N/A	7 dixit tuc dam mo chuad feisin lán isinibim linn de uisciu	And she said bring me my own mug out of which I drink, full of water.	tuc dam mo chuad feisin	bring me my own mug	mo chuad feisin	my own mug	1sg.Possessive_INTS	NP-OBJ	do-beir	-	2sg.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠NP-OBJ	SBJ=POSS	NO	N/A
MT	POMIC	mt.018	S0070-19	is se arán do-beirti do som fadesin cid in a insi fadessin amáin arán ruis cree .	The bread that used to be brought to himself only, even into his own island, was the "bread of Ross Cré.	do-beirti do som fadesin … amáin	that used to be brought to himself only	do som fadesin	to himself 	3sg.masc.Overt_Pronoun_INTS	PP-COMP	do-beir	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	N/A
Vbede	Thes.ii.37.4b2.74	N/A	S0058-79	dindrala huait CXUIII dofuarat latt oienar X nonus 7 X condid .XI.	If you put from yourself a hundred and eighteen, there remains with you from January .... so that it is eleven.	dindrala huait CXUIII	If you put from yourself a hundred and eighteen	huait	from yourself	2sg.Null_Pronoun	PP-COMP	do-cuirethar	CXUIII	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	N/A	NO	THE TRANSLATION IS “If 118 is put from yourself”. THE INFIX IS NON-OBJECTIVE.
Stokes, Whitley 1888	460	RC 9	https://archive.org/details/revueceltique09pari/page/460/mode/2up	Dos-corad a triur iarom isin muir	Then the three of them cast themselves into the sea	Dos-corad a triur iarom isin muir	Then the three of them cast themselves into the sea	dos-corad	cast themselves	3pl.Infixed_Pronoun	PRON-OBJ	do-cuirethar	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	013d20	N/A	N/A	.i. isuisse intoichther andruailnitheso honnebdruailnithiu nibu degming donetadsom achorp fadesin issuidiu	i.e. it is just that this corruptible should be clothed with the incorruptible. It were not difficult for him to go to his own body then.	donetadsom achorp fadesin issuidiu	to go to his own body then	achorp fadesin	to his own body	3sg.masc.Possessive_INTS	NP-OBJ	do-ethta	som	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠NP-OBJ	SBJ=POSS	NO	N/A
Ml.	038c21	N/A	S0006-1994	n<i>mdichimse formnaimtea	I do not avenge myself upon my enemies.	n<i>mdichimse formnaimtea	I do not avenge myself upon my enemies	n<i>mdichimse	I do not avenge myself	1sg.Infixed_Pronoun	PRON-OBJ	do-fich	se	1sg.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	121d18	N/A	S0006-7339	ɫ. nachatuarrad fadesin	or, lest it wear itself out.	ɫ. nachatuarrad fadesin	or, lest it wear itself out	nachatuarrad fadesin	lest it wear itself out.	3sg.fem.Infixed_Pronoun_INTS	PRON-OBJ	do-fúairc	-	3sg.fem.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Sg.	007a11	007a30 w	S0007-181	nís·tuarascbat feisin cen gutai	they do not express themselves without vowels	nís·tuarascbat feisin cen gutai	they do not express themselves without vowels	nís·tuarascbat feisin	they do not express themselves	3pl.Infixed_Pronoun_INTS	PRON-OBJ	do-fúarascaib	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Sg.	004b04	004b07 g	S0007-80	.i. indinne bís indib riam .i. inne/ ainmmnichthe. issí/ ám inne ainmmnichthe/ guthaichthe aturcbál/ treo fesin níbad/ ṡamlaidson didiu ma/ duelltis . reliqua	i.e. the meaning that is in them before, i.e. the meaning of denomination. This, indeed, is the meaning of the denomination of vowels, their production by themselves: it would not be thus, then, if they were declined, etc.	aturcbál/ treo fesin	their production by themselves	aturcbál	their production	3pl.Possessive	VBN-OBJ	do-furgaib	treo fesin	3pl.Null_Pronoun_INTS/PP	N/A	N/A	N/A	N/A	N/A	SBJ=VBN-OBJ	N/A	YES	N/A
Sg.	043a03	043a12 e	S0007-1088	cenachondelg 7 aderscugud dineuch acht do·furcabar tríit feisin	without its being compared and without its surpassing any <other>, but it is brought forward through itself	acht do·furcabar tríit feisin	but it is brought forward through itself	tríit feisin	through itself	3sg.neut.Null_Pronoun_INTS	PP-COMP	do-furgaib	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
Ml.	020b02	N/A	S0006-491	.i. isairi darogartsom noib arfrith<t>uidecht innaní asrubartatar nadrobae remdeicsiu na lathar ndæ diadulib	i.e. it is for this reason that he has called himself a saint: on account of the opposition of those who have said that there is no providence or dispensation of God for His creatures.	darogartsom noib	that he has called himself a saint	darogartsom	he has called himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	do-gair	som	3sg.masc.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	008d09	N/A	N/A	.i. bíith .i. dang<n>íid borp	i.e. let him become, that is, let him make himself stupid.	dang<n>íid borp	let him make himself stupid	dangníid	let him make himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	do-gní	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	013d21	N/A	N/A	.i. cid fogním cid fochésad dorróntar in hoc uerbo dicit enim consentius cid fo ó. cid fo .r. iscésad<sup>e</sup>	i.e. in hoc uerbo one can express oneself both in the active and the passive, dicit enim Consentius that whether it be <i.e. whether induo ends> in o or in r it is passive.	dorróntar in hoc uerbo	in hoc uerbo one can express oneself	dorróntar	one can express oneself	N/A	N/A	do-gní	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NO	NO REFLEXIVE IN IRISH
Wb.	024d11	N/A	N/A	Ceist in innonn less parbulus et nutrix náde ǽm isinnon arisberad <leg. arisbésad> nammuimme dogn<í> deidbleán di ocmunud ádalti horbi accobur lǽ nebud dó innoidenacht nachgeín síc fuimus uobis ol pol	Question, does he deem paruulus and nutrix the same? Verily it is the same: for it is the custom of the nurse to make a weakling of herself teaching her fosterling, since she hath a desire that he should not be in infancy for any long time: ‘sic fuimus uobis ’ saith Paul.	dogn<í> deidbleán di	to make a weakling of herself <lit. that she makes a weakling of herself>	di	of herself	3sg.fem.Null_Pronoun	PP-COMP	do-gní	-	3sg.fem.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PP-COMP	N/A	YES	N/A
MT	POMIC	mt.318	N/A	7 do-geni fadesin ind tiuglagin a l lae sin	And <he> himself made the pottage for that day.	7 do-geni fadesin ind tiuglagin a l lae sin	And <he> himself made the pottage for that day	do-geni fadesin	<he> himself made	3sg.masc.Null_Pronoun_INTS	PRON-SBJ	do-gní	- fadesin	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
MT	POMIC	mt.112	S0070-113	iss ed dano as maith lais <s>im ind tí do-gní ní do maith fri a menmain fadesin ari-ond gel7a 7 ari-nd bó do neoch gabthe MS:_neoch_gabti ED:_see_editor-s_notes . fobithin ní mór tolnathar di día ind di-gní neuch fri a menmain fadesin 	He thinks it well that if a man makes a resolution to do anything good, he should openly vow and proclaim whatever resolution he has taken, because what a man does merely in intention is not greatly pleasing to God.	do-gní ní do maith fri a menmain fadesin	who makes a resolution to do anything good <lit. who does anything good according to his own mind>	fri a menmain fadesin	according to his own mind	3sg.masc.Possessive_INTS	PP-COMP	do-gní	-	3sg.RELATIVE	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
MT	POMIC	mt.112	S0070-113	iss ed dano as maith lais <s>im ind tí do-gní ní do maith fri a menmain fadesin ari-ond gel7a 7 ari-nd bó do neoch gabthe MS:_neoch_gabti ED:_see_editor-s_notes . fobithin ní mór tolnathar di día ind di-gní neuch fri a menmain fadesin 	He thinks it well that if a man makes a resolution to do anything good, he should openly vow and proclaim whatever resolution he has taken, because what a man does merely in intention is not greatly pleasing to God.	di-gní neuch fri a menmain fadesin	what a man does merely in intention <lit. according to his own mind>	fri a menmain fadesin	according to his own mind	3sg.masc.Possessive_INTS	PP-COMP	do-gní	neuch	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
MT	POMIC	mt.412	S0070-413	do-gniat arale immurgo gu-choibsenae *MS:_after_choibsenae,_do_thuildiud*,_see_editor-s_notes* ind a ldeth fadesin do tormuch pende foraib	Some, however, make false confessions about themselves, in order to increase the penance laid upon them.	do-gniat arale immurgo gu-choibsenae *MS:_after_choibsenae,_do_thuildiud*,_see_editor-s_notes* ind a ldeth fadesin	Some, however, make false confessions about themselves <lit. for their own part>	ind a ldeth fadesin	for their own part	3pl.Possessive_INTS	PP-COMP	do-gní	arale	pl.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
WMS	POMIC	wms.026	N/A	ní gebthair ar uar cend acht amal do-ngengain fadessin	And nothing shall be taken on your behalf except as I myself would choose.	amal do-ngengain fadessin	as I myself would choose	do-ngengain fadessin	I myself would choose	1sg.Null_Pronoun_INTS	PRON-SBJ	do-goa	- fadessin	1sg.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Wb.	012b34a	N/A	N/A	nesso assanesso ↄdidtanicc fessin	nearer and nearer, until he <=Paul> has come to himself.	ↄdidtanicc fessin	until he <=Paul> has come to himself	ↄdidtanicc fessin	he <=Paul> has come to himself	3sg.masc.Infixed_Pronoun_INTS	PRON-OBJ	do-icc	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Wb.	014d02	N/A	N/A	.i. tíchtin inna epistle adrímisom arathíchtin fessin	i.e. the coming of the Epistle he counts as the coming of himself.	arathíchtin fessin	as himself coming	athíchtin fessin	himself coming	3sg.masc.Possessive_INTS	VBN-SBJ	do-icc	a … fessin	3sg.masc.Possessive_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Ml.	034d12	N/A	S0006-1621	.i. sechis batrom foraib són centíchtain átíre fadesin	i.e. that is, it was heavy upon them, not going to their own land.	centíchtain átíre fadesin	not going to their own land	átíre fadesin	to their own land	3pl.Possessive_INTS	NP-OBJ	do-icc	-	PRO	N/A	N/A	N/A	N/A	N/A	PRO≠NP-OBJ	PRO=POSS	NO	N/A
Ml.	054d03	N/A	S0006-3341	arind atoibiud nephetarscarthu .i. nad ndechuid a ernaig<de> huadsom dochum ndæ acht duintarrae inna ucht fesin iterum	for the inseparable adhesion, i.e. that his prayer had not gone from him to God, but had turned back again to his own bosom.	acht duintarrae inna ucht fesin iterum	but <it> had turned back again to his own bosom	inna ucht fesin	to his own bosom	3sg.masc.Possessive_INTS	PP-COMP	do-intai	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ≠POSS	NO	POSSESSIVE IN MORPH IS COREFERENTIAL WITH POSSESSIVE IN SUBJECT OF PREVIOUS CLAUSE. 
Com	POMIC	com.031	N/A	Arra tredain do neuch nad lega .i. laa co n-aidchi cen cotlud cen telcuth i ssuidi acht an tan to-n-leici fri slechtan nama &	A commutation of a three-day’s fast for one who cannot read: a day and night without sleep, without sitting down save only when he lowers himself to genuflect.	an tan to-n-leici fri slechtan nama	save only when he lowers himself to genuflect	to-n-leici	he lowers himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	do-léici	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
K-Bede	Thes.ii.11.18b10	N/A	S0022-22	isamlaid ém cotaucbat doib residentibus .i. sideribus .i. andusleicet inna rind .i. illís .i. ísli doib som infechtsa innahí ruptar ardda dun nai	It is thus, indeed, they raise themselves to them, to the residents, that is, to the stars; that is, when the planets sink <themselves>, that is, to those. That is, the ones that were high to us <are> low to them now.	andusleicet inna rind .i. illís	when the planets sink <themselves>, that is, to those	andusleicet	when … sink <themselves>	3pl.Infixed_Pronoun	PRON-OBJ	do-léici	-	3pl.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	036a29	N/A	S0006-1770	.i. ní asriad dofeichemain rodligestar ní do ɫ. ní doromlad fadesin ɔrairleced do	i.e. anything which he might have paid to a creditor who had a right to something from him, or anything that he himself could have enjoyed until the loan had been made to him.	doromlad fadesin	that he himself could have enjoyed	doromlad fadesin	he himself could have enjoyed	3sg.masc.Null_Pronoun_INTS	PRON-SBJ	do-meil	- fadesin	3sg.masc.Null_Pronoun_INTS	N/A	N/A	N/A	N/A	N/A	≠	N/A	NO	N/A
Ml.	049b15	N/A	S0006-2943	dondmenad	that he might think himself.	dondmenad	that he might think himself	dondmenad	that he might think himself	3sg.masc.Infixed_Pronoun	PRON-OBJ	do-muinethar	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	GLOSSES LATIN: ESSE SE CHRISTUM AUSUS FUERAT SUSPICARI “HE HAD DARED TO SUSPECT THAT HE WAS CHRIST”. THE IRISH STANDS FOR dondmenad Christum “that he might think himself Christ.” 
Ml.	130d05	N/A	S0006-7900	.i. air tommén<ar>sa dia	i.e. for I thought myself a god.	air tommén<ar>sa dia	for I thought myself a god	tommén<ar>sa	I thought myself	1sg.Infixed_Pronoun	PRON-OBJ	do-muinethar	sa	1sg.Overt_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Ml.	033c05	N/A	S0006-1506	dundrosced	that he would distinguish himself.	dundrosced	that he would distinguish himself	dundrosced	that he would distinguish himself.	3sg.masc.Infixed_Pronoun	PRON-OBJ	do-róscai	-	3sg.masc.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ=PRON-OBJ	N/A	YES	N/A
Sg.	040a06	040a09h	S0007-1010	ní·derscaigi in comparit dihilib acheneiuil feissin.	the comparative does not surpass many of its own kind	ní·derscaigi in comparit dihilib acheneiuil feissin	the comparative does not surpass many of its own kind	dihilib acheneiuil feissin	from many of its own kind	3sg.neut.Possessive_INTS	PP-COMP	do-róscai	in comparit	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Sg.	040a07	040a m.s.i	S0007-1011	.i. isdliged áem andliged do·gniat greíc isindí nad·derscaigi incomparit dihilib achenéuilfeissin.	i.e. it is a law indeed, the law which the Greeks make in that the comparative does not surpass many of its own kind	isindí nad·derscaigi incomparit dihilib achenéuilfeissin	in that the comparative does not surpass many of its own kind	dihilib achenéuilfeissin	from many of its own kind	3sg.neut.Possessive_INTS	PP-COMP	do-róscai	incomparit	sg.Noun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Sg.	040a08	040a11 k	S0007-1012	.i. oderscugud doncomparit¹ dihilib acheneiuilfessin	i.e. the surpassing by the comparative of many of its own kind	oderscugud doncomparit¹ dihilib acheneiuilfessin	the surpassing by the comparative of many of its own kind	dihilib acheneiuilfessin	from many of its own kind	3sg.neut.Possessive_INTS	PP-COMP	do-róscai	doncomparit¹	sg.Noun/PP	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Sg.	040a11	040a13 n	S0007-1015	Atá linn chaenae ní as/a·narbaram dærscugud/ di <leg. do> neuch di hilib achenéuil/ feissin .i. asuperlait.	we have besides something whereby we can express the surpassing by one of many of its own race, i.e. its superlative	dærscugud/ di <leg. do> neuch di hilib achenéuil/ feissin	the surpassing by one of many of its own race	di hilib achenéuil/ feissin	from many of its own kind	3sg.neut.Possessive_INTS	PP-COMP	do-róscai	di <leg. do> neuch	sg.Noun/PP	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
Sg.	040a18	040a22 y	S0007-1022	di·róscai di hilib acheneiuil feisin	it surpasses many of its own kind	di·róscai di hilib acheneiuil feisin	it surpasses many of its own kind	di hilib acheneiuil feisin	from many of its own kind	3sg.neut.Possessive_INTS	PP-COMP	do-róscai	-	3sg.neut.Null_Pronoun	N/A	N/A	N/A	N/A	N/A	SBJ≠PP-COMP	SBJ=POSS	NO	N/A
